Mix_ID,Cement_kg_m3,Fly_Ash_kg_m3,Silica_Fume_kg_m3,Metakaolin_kg_m3,GGBS_kg_m3,RHA_kg_m3,POFA_kg_m3,Fine_Sand_kg_m3,Water_kg_m3,Extra_Water_kg_m3,Water_Binder_Ratio,Na2SiO3_Content_kg_m3,NaOH_Content_kg_m3,KOH_Content_kg_m3,Activator_Molarity_M,Superplasticizer_kg_m3,Polypropylene_Fiber_Content_%,PP_Fiber_kg_m3,Fiber_Length_mm,Compressive_Strength_MPa,Flexural_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Interlayer_Bond_Strength_MPa,RCPT,Water_Absorption_%,Sorptivity,Gas_Permeability,Chloride_Penetration,Acid_Attack_Loss_%,Sulphate_Resistance_%,Printing_Speed_mm_s,Layer_Height_mm,Nozzle_Diameter_mm,Build_Direction,Print_Orientation,Anisotropy_Index,Density_kg_m3,Porosity_%,SEM_Results,XRD_Results,FTIR_Results,Curing_Temperature_C,Curing_Duration_days,Heat_Curing_Conditions,Curing_Method,Dataset_Distribution,Validation_Dataset,Testing_Dataset,Statistical_Normalization,Missing_Data_Handled,Feature_Selection_Method
BT-15,697,100,50,0,120,0,0,1450,248,10,0.32,,,,,9.0,0.5,4.5,12.0,50.2,7.4,4.6,31.1,3.9,2120,4.9,0.19,1.82×10⁻17,Low,7.2,89,18.0,10.0,20,Vertical,Longitudinal,1.08,2240,6.8,Compact matrix and refined pore structure,Increased amorphous aluminosilicate hump,Highly polymerized gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
BT-20,656,100,50,0,120,0,0,1450,250,12,0.32,,,,,9.2,0.5,4.5,12.0,47.6,6.9,4.2,29.2,3.4,2360,5.6,0.24,2.18×10⁻17,Moderate,9.5,83,18.0,10.0,20,Vertical,Longitudinal,1.16,2255,7.3,Agglomeration and microvoids observed,Secondary crystalline phases increased,Reduced silicate band intensity,25,28,,Ambient curing,Slightly imbalanced,0.15,0.15,Standard scaling,Yes,Correlation-based
BT-GEO10,0,420,0,250,150,0,0,1450,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,53.8,7.8,5.0,33.6,4.1,1910,4.4,0.16,1.61×10⁻17,Very Low,5.6,93,18.0,10.0,20,Vertical,Longitudinal,1.05,2185,6.2,Dense geopolymer gel network,Strong N-A-S-H gel peaks,Stable geopolymeric gel structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
BT-GEO15,0,400,0,250,170,0,0,1450,210,15,0.32,102.0,40.0,0.0,12.0,8.8,0.75,6.8,12.0,57.1,8.2,5.4,35.4,4.4,1760,4.0,0.14,1.42×10⁻17,Very Low,4.8,96,18.0,10.0,20,Vertical,Longitudinal,1.02,2200,5.8,Highly compact aluminosilicate gel matrix,Strong amorphous geopolymer hump,Dense aluminosilicate network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
MK-CON,0,0,0,700,0,0,0,1450,220,15,0.31,90.0,36.0,0.0,10.0,8.0,0.5,4.5,12.0,36.8,5.4,3.1,23.8,2.3,3020,7.1,0.34,3.02×10⁻17,High,15.2,69,18.0,10.0,20,Vertical,Longitudinal,1.31,2140,8.4,Weak pore connectivity observed,Dominant N-A-S-H gel peaks,Broad Si–O–T band observed,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
MK-G10,0,0,0,630,70,0,0,1450,218,14,0.3,92.0,36.0,0.0,10.0,8.2,0.5,4.5,12.0,42.6,6.1,3.7,26.5,2.9,2580,6.2,0.28,2.46×10⁻17,Moderate,11.8,77,18.0,10.0,20,Vertical,Longitudinal,1.22,2155,7.5,Reduced pore size and improved gel continuity,Increased amorphous geopolymer hump,Improved aluminosilicate bonding,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
MK-G20,0,0,0,560,140,0,0,1450,215,12,0.3,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,48.9,7.0,4.2,29.8,3.5,2210,5.4,0.22,2.04×10⁻17,Low,8.4,86,18.0,10.0,20,Vertical,Longitudinal,1.15,2170,6.6,Dense geopolymer gel matrix observed,Strong N-A-S-H and C-A-S-H peaks,Strong geopolymer gel structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
MK-G30,0,0,0,490,210,0,0,1450,214,12,0.3,98.0,39.0,0.0,12.0,8.8,0.5,4.5,12.0,53.4,7.8,4.8,32.6,4.0,1940,4.7,0.18,1.76×10⁻17,Very Low,6.2,92,18.0,10.0,20,Vertical,Longitudinal,1.08,2185,5.9,Highly compact microstructure with refined pores,Increased geopolymerization products,Dense silicate network observed,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
MK-G40,0,0,0,420,280,0,0,1450,216,14,0.31,102.0,40.0,0.0,12.0,9.0,0.5,4.5,12.0,49.6,7.1,4.3,30.5,3.6,2180,5.5,0.23,2.10×10⁻17,Low,8.9,84,18.0,10.0,20,Vertical,Longitudinal,1.16,2200,6.8,Slag agglomeration and larger pores observed,Increased crystalline phases,Reduced silicate band intensity,60,7,Heat curing at 60°C,Oven heat curing,Slightly imbalanced,0.15,0.15,Standard scaling,Yes,Correlation-based
MK-RHA10,0,0,0,630,70,70,0,1450,220,15,0.31,96.0,38.0,0.0,12.0,8.6,0.5,4.5,12.0,51.8,7.5,4.6,31.7,3.9,2050,4.9,0.19,1.84×10⁻17,Low,7.0,89,18.0,10.0,20,Vertical,Longitudinal,1.1,2160,6.2,Fine RHA particles filled pore voids,Enhanced amorphous silica hump,Strong polymerized silica network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
MK-POFA10,0,0,0,630,70,0,70,1450,222,16,0.31,96.0,38.0,0.0,12.0,8.6,0.5,4.5,12.0,50.1,7.2,4.4,30.9,3.7,2140,5.2,0.21,1.95×10⁻17,Low,7.8,87,18.0,10.0,20,Vertical,Longitudinal,1.12,2150,6.5,Improved gel bonding with minor pores,Increased silica-rich gel formation,Stable geopolymeric gel structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
SA-CON,820,100,50,0,120,0,0,1450,245,12,0.31,,,,,8.5,0.5,4.5,12.0,38.6,5.5,3.2,24.4,2.2,3120,7.4,0.35,3.12×10⁻17,High,18.6,66,18.0,10.0,20,Vertical,Longitudinal,1.3,2210,8.8,Severe gypsum crystal formation and microcracks observed,Strong gypsum and ettringite peaks identified,Weak silicate gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SA-FA15,697,223,50,0,120,0,0,1450,242,10,0.3,,,,,8.6,0.5,4.5,12.0,43.2,6.2,3.8,26.8,2.8,2680,6.4,0.28,2.46×10⁻17,Moderate,13.2,75,18.0,10.0,20,Vertical,Longitudinal,1.22,2205,7.6,Reduced pore connectivity and lower acid penetration,Increased amorphous hydration products,Improved silica gel bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
SA-GGBS20,615,100,50,0,205,0,0,1450,240,10,0.3,,,,,8.8,0.5,4.5,12.0,48.7,7.1,4.4,29.9,3.5,2280,5.5,0.22,2.02×10⁻17,Low,9.1,84,18.0,10.0,20,Vertical,Longitudinal,1.15,2220,6.9,Dense C-A-S-H gel matrix with fewer dissolution cracks,Strong C-A-S-H peaks observed,Dense aluminosilicate network,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
SA-SF5,780,100,100,0,120,0,0,1450,238,9,0.29,,,,,9.2,0.5,4.5,12.0,53.4,7.8,4.9,32.7,4.0,1940,4.8,0.18,1.74×10⁻17,Very Low,6.4,91,18.0,10.0,20,Vertical,Longitudinal,1.08,2235,6.2,Highly compact microstructure with minimal acid-induced pores,Reduced sulfate crystalline phases,Strong polymerized silica band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
SA-RHA10,697,100,50,0,120,82,0,1450,242,10,0.3,,,,,8.8,0.5,4.5,12.0,50.1,7.3,4.6,31.1,3.7,2050,5.0,0.19,1.86×10⁻17,Low,7.2,89,18.0,10.0,20,Vertical,Longitudinal,1.11,2215,6.7,Fine RHA particles reduced acid ingress channels,Enhanced amorphous silica gel formation,Improved silicate network,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
SA-POFA10,697,100,50,0,120,0,82,1450,243,11,0.3,,,,,8.8,0.5,4.5,12.0,48.6,7.0,4.3,30.4,3.5,2140,5.3,0.21,1.95×10⁻17,Low,8.0,87,18.0,10.0,20,Vertical,Longitudinal,1.13,2208,7.0,Moderate sulfate deposits with refined pores,Increased secondary C-S-H peaks,Stable silica-rich gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SA-GEO20,0,400,0,250,150,0,0,1450,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,56.8,8.2,5.2,34.8,4.3,1760,4.1,0.14,1.42×10⁻17,Very Low,4.6,95,18.0,10.0,20,Vertical,Longitudinal,1.04,2175,5.8,Dense geopolymer gel matrix with minimal acid deterioration,Strong N-A-S-H gel peaks,Highly stable geopolymeric network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
PS-CON,820,100,50,0,120,0,0,1450,245,12,0.31,,,,,8.5,0.5,4.5,12.0,38.2,5.4,3.1,24.2,2.1,3050,7.2,0.34,3.05×10⁻17,High,15.8,68,18.0,10.0,20,Vertical,Longitudinal,1.3,2210,8.9,Large interconnected capillary pores observed,Dominant C-S-H peaks with weak packing density,Weak silicate gel network,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
PS-FA15,697,223,50,0,120,0,0,1450,242,10,0.3,,,,,8.6,0.5,4.5,12.0,43.6,6.2,3.7,27.0,2.7,2620,6.2,0.27,2.48×10⁻17,Moderate,12.1,76,18.0,10.0,20,Vertical,Longitudinal,1.22,2205,7.6,Reduced pore channels and improved matrix continuity,Increased amorphous hydration products,Improved silica gel formation,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
PS-GGBS20,615,100,50,0,205,0,0,1450,240,10,0.3,,,,,8.8,0.5,4.5,12.0,49.1,7.1,4.3,30.1,3.4,2240,5.3,0.22,2.01×10⁻17,Low,8.5,85,18.0,10.0,20,Vertical,Longitudinal,1.15,2220,6.8,Dense C-A-S-H gel and refined pore structure,Strong C-A-S-H peaks observed,Dense aluminosilicate network,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
PS-SF5,780,100,100,0,120,0,0,1450,238,9,0.29,,,,,9.2,0.5,4.5,12.0,54.3,7.9,4.9,33.2,4.1,1910,4.6,0.17,1.69×10⁻17,Very Low,6.1,92,18.0,10.0,20,Vertical,Longitudinal,1.08,2235,6.0,Highly compact microstructure with minimal voids,Reduced crystalline phases and dense silica gel,Strong polymerized silica band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
PS-RHA10,697,100,50,0,120,82,0,1450,242,10,0.3,,,,,8.8,0.5,4.5,12.0,50.4,7.3,4.5,31.0,3.6,2030,4.9,0.19,1.81×10⁻17,Low,7.0,89,18.0,10.0,20,Vertical,Longitudinal,1.11,2215,6.5,Fine RHA particles filled microvoids effectively,Enhanced amorphous silica hump,Stable silica-rich gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
PS-POFA10,697,100,50,0,120,0,82,1450,243,11,0.3,,,,,8.8,0.5,4.5,12.0,48.7,7.0,4.2,30.2,3.4,2120,5.1,0.21,1.92×10⁻17,Low,7.8,87,18.0,10.0,20,Vertical,Longitudinal,1.13,2208,6.9,Moderate pore refinement and improved gel bonding,Increased secondary C-S-H gel formation,Improved silicate bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
PS-GEO20,0,400,0,250,150,0,0,1450,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,57.2,8.3,5.3,35.0,4.4,1780,4.0,0.14,1.39×10⁻17,Very Low,4.4,95,18.0,10.0,20,Vertical,Longitudinal,1.04,2175,5.7,Dense geopolymer gel matrix with low pore connectivity,Strong N-A-S-H gel peaks observed,Highly polymerized geopolymer structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CWA-CON,850,0,50,0,100,0,0,1450,245,10,0.3,,,,,8.0,0.0,0.0,,42.5,6.0,3.6,27.2,2.7,2840,6.6,0.29,2.74×10⁻17,Moderate,12.8,76,18.0,10.0,20,Vertical,Longitudinal,1.24,2230,8.2,Dense cement matrix with moderate pores observed,Dominant C-S-H peaks identified,Stable silica gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CWA-10,765,0,50,0,100,0,0,1305,245,10,0.3,,,,,8.2,0.0,0.0,,44.8,6.4,3.9,28.4,2.9,2620,6.0,0.26,2.41×10⁻17,Moderate,10.6,81,18.0,10.0,20,Vertical,Longitudinal,1.2,2220,7.5,Improved ceramic particle bonding with reduced pores,Increased amorphous hydration phases,Enhanced silicate bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CWA-20,680,0,50,0,100,0,0,1160,248,10,0.31,,,,,8.5,0.0,0.0,,47.2,6.9,4.2,30.1,3.2,2360,5.4,0.22,2.05×10⁻17,Low,8.4,86,18.0,10.0,20,Vertical,Longitudinal,1.15,2210,6.8,Dense interfacial transition zone and refined pore network,Strong C-S-H gel peaks,Strong polymerized silica band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CWA-30,595,0,50,0,100,0,0,1015,250,12,0.32,,,,,8.8,0.0,0.0,,43.6,6.3,3.8,28.0,2.8,2580,6.1,0.27,2.36×10⁻17,Moderate,10.1,80,18.0,10.0,20,Vertical,Longitudinal,1.21,2195,7.6,Increased ceramic particle clustering observed,Minor crystalline peaks increased,Moderate gel connectivity,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CWA-40,510,0,50,0,100,0,0,870,255,14,0.33,,,,,9.0,0.0,0.0,,39.4,5.8,3.4,25.6,2.4,2860,6.9,0.31,2.80×10⁻17,High,13.5,72,18.0,10.0,20,Vertical,Longitudinal,1.28,2170,8.5,Weak ITZ and interconnected pores identified,Increased crystalline ceramic phases,Reduced silicate band intensity,25,28,,Ambient curing,Slightly imbalanced,0.15,0.15,Standard scaling,Yes,Correlation-based
CWA-RHA10,680,0,50,0,100,82,0,1160,248,12,0.31,,,,,8.6,0.0,0.0,,49.1,7.2,4.4,31.3,3.4,2140,4.8,0.18,1.82×10⁻17,Low,6.9,90,18.0,10.0,20,Vertical,Longitudinal,1.1,2205,6.2,Fine RHA particles filled pore voids effectively,Enhanced amorphous silica hump,Dense silica-rich gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
CWA-GEO20,0,350,0,250,150,0,0,1160,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,55.2,8.0,5.1,34.5,4.0,1810,4.0,0.14,1.40×10⁻17,Very Low,4.5,95,18.0,10.0,20,Vertical,Longitudinal,1.04,2165,5.6,Dense geopolymer gel matrix with minimal voids,Strong N-A-S-H gel peaks,Highly stable geopolymeric network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
RUB-CON,820,100,50,0,120,0,0,1450,245,10,0.3,,,,,8.0,0.5,4.5,12.0,41.8,6.1,3.6,27.0,2.8,2860,6.5,0.29,2.72×10⁻17,Moderate,12.5,77,18.0,10.0,20,Vertical,Longitudinal,1.22,2225,8.0,Dense cement matrix with moderate pores,Strong C-S-H gel peaks observed,Stable silica gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
RUB-05,779,100,50,0,120,0,0,1375,245,10,0.3,,,,,8.2,0.5,4.5,12.0,40.2,6.3,3.8,26.1,3.0,2740,6.2,0.27,2.55×10⁻17,Moderate,11.4,80,18.0,10.0,20,Vertical,Longitudinal,1.18,2180,7.6,Improved rubber-cement bonding with fewer voids,Moderate amorphous hydration products,Improved silicate bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
RUB-10,738,100,50,0,120,0,0,1300,248,11,0.31,,,,,8.5,0.5,4.5,12.0,37.6,6.5,4.0,24.8,3.2,2580,5.9,0.25,2.38×10⁻17,Moderate,10.2,83,18.0,10.0,20,Vertical,Longitudinal,1.14,2145,7.1,Uniform rubber dispersion with refined pore network,Increased amorphous gel content,Strong polymerized silica band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
RUB-15,697,100,50,0,120,0,0,1225,250,12,0.32,,,,,8.8,0.5,4.5,12.0,34.1,6.2,3.9,22.6,3.1,2460,5.7,0.23,2.26×10⁻17,Low,9.4,85,18.0,10.0,20,Vertical,Longitudinal,1.12,2100,7.5,Increased rubber clustering and microvoids observed,Minor crystalline phase increase,Moderate gel continuity,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
RUB-20,656,100,50,0,120,0,0,1150,255,14,0.33,,,,,9.0,0.5,4.5,12.0,30.8,5.8,3.6,20.4,2.8,2380,5.5,0.22,2.18×10⁻17,Low,8.8,87,18.0,10.0,20,Vertical,Longitudinal,1.1,2055,8.2,Weak ITZ around rubber particles and interconnected pores,Reduced C-S-H peak intensity,Weak silicate network,25,28,,Ambient curing,Slightly imbalanced,0.15,0.15,Standard scaling,Yes,Correlation-based
RUB-RHA10,697,100,50,0,120,82,0,1300,248,12,0.31,,,,,8.6,0.5,4.5,12.0,42.9,6.8,4.2,28.6,3.5,2140,4.8,0.18,1.80×10⁻17,Low,6.8,91,18.0,10.0,20,Vertical,Longitudinal,1.08,2120,6.4,Fine RHA particles reduced pore connectivity,Enhanced amorphous silica hump,Dense silica-rich gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
RUB-GEO20,0,350,0,250,150,0,0,1300,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,52.4,7.9,5.0,33.8,4.1,1790,4.1,0.14,1.38×10⁻17,Very Low,4.3,95,18.0,10.0,20,Vertical,Longitudinal,1.03,2085,5.7,Dense geopolymer gel matrix with minimal voids,Strong N-A-S-H gel peaks,Highly stable geopolymeric network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CP-CAST,820,100,50,0,120,0,0,1450,245,10,0.3,,,,,8.0,0.5,4.5,12.0,44.2,6.4,3.9,28.1,3.1,2760,6.1,0.27,2.58×10⁻17,Moderate,11.4,80,,,,,,1.0,2235,7.4,Dense homogeneous matrix with fewer interlayer pores,Strong C-S-H peaks identified,Stable silicate gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CP-PRINT,820,100,50,0,120,0,0,1450,242,10,0.3,,,,,8.5,0.5,4.5,12.0,41.6,6.0,3.6,26.8,2.7,2940,6.8,0.31,2.86×10⁻17,Moderate,13.2,75,18.0,10.0,20,Vertical,Longitudinal,1.28,2210,8.3,Visible interlayer voids and anisotropic pore channels observed,Moderate crystalline hydration products,Slightly weaker silicate network,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CP-FA15,697,223,50,0,120,0,0,1450,240,10,0.3,,,,,8.6,0.5,4.5,12.0,46.8,6.8,4.1,29.7,3.3,2480,5.6,0.24,2.24×10⁻17,Low,9.4,84,18.0,10.0,20,Vertical,Longitudinal,1.2,2215,7.0,Reduced pore connectivity and refined matrix,Increased amorphous hydration phases,Improved silica gel bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CP-GGBS20,615,100,50,0,205,0,0,1450,238,10,0.29,,,,,8.8,0.5,4.5,12.0,51.9,7.5,4.7,32.4,3.9,2120,4.9,0.19,1.86×10⁻17,Low,7.1,90,18.0,10.0,20,Vertical,Longitudinal,1.13,2230,6.2,Dense C-A-S-H gel matrix with fewer microcracks,Strong C-A-S-H peaks observed,Dense aluminosilicate structure,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CP-SF5,780,100,100,0,120,0,0,1450,236,9,0.29,,,,,9.0,0.5,4.5,12.0,56.1,8.1,5.1,35.2,4.3,1840,4.2,0.15,1.52×10⁻17,Very Low,5.0,94,18.0,10.0,20,Vertical,Longitudinal,1.06,2245,5.6,Highly compact matrix with minimal pore connectivity,Reduced crystalline phases,Strong polymerized silica band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Mutual information
CP-RHA10,697,100,50,0,120,82,0,1450,240,10,0.3,,,,,8.7,0.5,4.5,12.0,53.2,7.8,4.9,33.4,4.0,1960,4.5,0.17,1.68×10⁻17,Low,6.1,92,18.0,10.0,20,Vertical,Longitudinal,1.09,2220,5.9,Fine RHA particles filled interlayer pores effectively,Enhanced amorphous silica hump,Dense silica-rich gel structure,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CP-GEO20,0,350,0,250,150,0,0,1450,215,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,58.8,8.5,5.5,36.6,4.5,1680,3.8,0.12,1.28×10⁻17,Very Low,3.9,97,18.0,10.0,20,Vertical,Longitudinal,1.03,2185,5.1,Dense geopolymer gel matrix with minimal defects,Strong N-A-S-H gel peaks,Highly stable geopolymeric network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
